Date,Type,Name,F1,F2,F3,F4,F5,F6,F7,F8,F9
2025-12-17,flux,Dolamite,,,1700,,,,4001,,
2025-12-17,ore,IMPORTED SINTER,,,,,,66629,,86640,125307
2025-12-17,coke / Coal,Indian Coke ,,,6390,,,,,6313,2582
2025-12-17,coke / Coal,LAM COKE,8742,8717,6588,,,18823,13763,19022,35239
2025-12-17,ore,MILIAN LINK 34 Lot 2,,,1500,,,16148,,11410,
2025-12-17,ore,Ore & Metal 37,,,,,,,,25674,27274
2025-12-17,flux,Quartz,13640,13095,13041,,,,26402,2064,1817
2025-12-17,ore,Remelt ,11609,11654,9378,,,,,7157,8162
2025-12-17,ore,SANDUR 29,5981,2885,,,,,27999,,6373
2025-12-17,ore,W.M.A Commodities 40,9117,8624,25306,,,62526,15993,,
2025-12-17,ore,W.M.A IVORY COAST,11768,11660,12941,,,,,,
2025-12-17,ore,WMA Commodities 36,30031,30452,34140,,,36038,56005,,
2025-12-18,ore,BERRY FM SLAG,16797,16896,18802,,,,21.7,,
2025-12-18,ore,Brequites Berry,5000,5000,3000,16410,16347,4.6,,,
2025-12-18,coke / Coal,COAL,19669,19960,13992,1693,40298,27.7,22.7,18099,
2025-12-18,ore,COMILOG ERAMET,18596,17506,6024,33457,32396,,,69389,25032
2025-12-18,flux,Dolamite,,,1500,,,,3.9,,
2025-12-18,ore,IMPORTED SINTER,,,,163271,105607,73.8,,92605,128064
2025-12-18,coke / Coal,IMR RAW COKE & STOCK TRANSFER,,,,,,,11.3,,
2025-12-18,coke / Coal,Indian Coke ,,,6419,11427,10815,6.9,2.1,5758,5806
2025-12-18,coke / Coal,LAM COKE,10212,10305,6847,49025,24706,17.1,,19704,34973
2025-12-18,ore,MILIAN LINK 34 Lot 2,,,,,,17.6,,14125,
2025-12-18,ore,Ore & Metal 37,,,,,,,,26709,27006
2025-12-18,flux,Quartz,13000,13177,13875,,,,25.4,,2637
2025-12-18,ore,Remelt ,6926,7027,9020,,19550,5.5,15.4,10266,10016
2025-12-18,ore,SANDUR 29,5375,2901,,26253,,,26.8,,6257
2025-12-18,ore,W.M.A Commodities 40,13303,14525,24060,,101477,68.8,17000,,
2025-12-18,ore,W.M.A IVORY COAST,11910,12074,12656,,3110,,,,
2025-12-18,ore,WMA Commodities 36,31663,32216,33029,47023,59401,39.6,56.9,,
2025-12-19,ore,BERRY FM SLAG,17085,17058,18048,,,,,,
2025-12-19,ore,Brequites Berry,5000,5000,2900,,,,,,
2025-12-19,coke / Coal,COAL,15230,15095,13009,,,,,15833,
2025-12-19,ore,COMILOG ERAMET,12601,12214,5725,,,,,57826,26255
2025-12-19,flux,Dolamite,,,1000,,,,,,
2025-12-19,ore,IMPORTED SINTER,,,,,,,,71979,134408
2025-12-19,coke / Coal,Indian Coke ,2196,2300,5743,,,,,4663,7260
2025-12-19,coke / Coal,LAM COKE,11450,112701,6235,,,,,16888889,35353
2025-12-19,ore,MILIAN LINK 34 Lot 2,,,,,,,,17968,
2025-12-19,ore,Ore & Metal 37,,,,,,,,21223,28347
2025-12-19,flux,Quartz,14399,13302,12750,,,,,,3151
2025-12-19,ore,Remelt ,16723,14485,8677,,,,,12451,8744
2025-12-19,ore,SANDUR 25 Fines,,,,,,,,,6603
2025-12-19,ore,W.M.A Commodities 40,24251,24251,23199,,,,,,
2025-12-19,ore,W.M.A IVORY COAST,12446,12456,,,,,,,
2025-12-19,ore,WMA Commodities 36,28568,28211,31909,,,,,,
2025-12-20,ore,BERRY FM SLAG,,18439,19415,,,,21775,,
2025-12-20,ore,Brequites Berry,,5000,3100,16453,17159,5607,,,
2025-12-20,coke / Coal,COAL,,15978,14451,6845,40702,27368,23022,79421,
2025-12-20,ore,COMILOG ERAMET,,13717,6226,27777,33685,,,73501,19347
2025-12-20,flux,Dolamite,,,3000,,,,3908,,
2025-12-20,ore,IMPORTED SINTER,,,,148814,110114,74391,,88428,122063
2025-12-20,coke / Coal,Indian Coke ,,2581,6585,12500,12657,7947,2774,7870,6804
2025-12-20,coke / Coal,LAM COKE,,12171,6940,45047,25269,16977,10769,21106,32760
2025-12-20,ore,MILIAN LINK 34 Lot 2,,,900,,,17911,,24574,
2025-12-20,ore,Ore & Metal 37,,,,,,,,28346,26463
2025-12-20,ore,Ore & Metal 42,,,,31462,,,,,8942
2025-12-20,flux,Quartz,,14677,14785,,,,25750,,2185
2025-12-20,ore,Remelt ,,14557,9300,,12895,,,75754,12968
2025-12-20,ore,SANDUR 22-24,,,,,,,,,2010
2025-12-20,ore,SANDUR 29,,,,5408,,,26139,,
2025-12-20,ore,W.M.A Commodities 40,,,24909,,105788,69661,15902,,
2025-12-20,ore,W.M.A IVORY COAST,,13833,12984,,3356,,,,
2025-12-20,ore,WMA Commodities 36,,27358,34177,46575,61942,40004,56098,,
2025-12-21,ore,Aod Remelt ,19016,18925,,,,,,,
2025-12-21,ore,BERRY FM SLAG,36371,17799,13153,,,,21659,,
2025-12-21,ore,Brequites Berry,5000,,2100,2804,2943,5693,,,
2025-12-21,coke / Coal,COAL,31540,15471,9634,3451,11900,28188,22743,18685,
2025-12-21,ore,COMILOG ERAMET,26952,13269,3972,4489,10601,,,70685,18348
2025-12-21,flux,Dolamite,,,500,,,,3881,,
2025-12-21,ore,IMPORTED SINTER,,,,24658,32009,75927,,83765,128692
2025-12-21,coke / Coal,Indian Coke ,5945,2613,4276,2145,3698,8160,2754,7580,8913
2025-12-21,coke / Coal,LAM COKE,24490,11937,4649,6803,7300,17546,10630,20301,36334
2025-12-21,ore,MILIAN LINK 34 Lot 2,,,900,,,18379,,25242,
2025-12-21,ore,Ore & Metal 37,,,,,,,,27215,28358
2025-12-21,ore,Ore & Metal 42,,,,6672,149,,,,14203
2025-12-21,flux,Quartz,30426,12920,9042,,,,25428,,1426
2025-12-21,ore,Remelt ,15566,,6317,,3401,,,11107,9275
2025-12-21,ore,SANDUR 29,,,,,,,23178,,
2025-12-21,ore,W.M.A Commodities 40,58556,26395,16799,,30748,70864,15495,,
2025-12-21,ore,W.M.A IVORY COAST,27008,13360,8580,,,,,,
2025-12-21,ore,WMA Commodities 36,53982,26500,23102,7872,1800,41087,59252,,
2025-12-22,ore,BERRY FM SLAG,17411,17422,17871,,,,11974,,
2025-12-22,ore,Brequites Berry,6000,6000,2850,5100,6404,,,,2834
2025-12-22,coke / Coal,COAL,15070,15174,13785,6223,20661,,12550,19252,11603
2025-12-22,ore,COMILOG ERAMET,12760,13257,5825,9257,16472,,,72957,58525
2025-12-22,flux,Dolamite,,,2000,,,,3166,,
2025-12-22,ore,IMPORTED SINTER,,,,43777,55105,,,83821,94431
2025-12-22,coke / Coal,IMR RAW COKE & STOCK TRANSFER,,,,,,,1568,,
2025-12-22,coke / Coal,Indian Coke ,4376,4324,6181,3875,6442,,5872,6493,7748
2025-12-22,coke / Coal,LAM COKE,9046,9321,7221,11475,13023,,,20800,26975
2025-12-22,ore,MILIAN LINK 34 Lot 2,,,900,,2052,,,22993,
2025-12-22,ore,Ore & Metal 37,,,,,,,,27270,27548
2025-12-22,ore,Ore & Metal 42,,,,12242,,,,,17511
2025-12-22,flux,Quartz,12276,12425,12795,,,,14205,940,533
2025-12-22,ore,Remelt ,16959,15576,8629,,6403,,8631,7382,15344
2025-12-22,ore,SANDUR 29,,,,,,,12974,,
2025-12-22,ore,W.M.A Commodities 40,26963,26252,22915,,52902,,8705,,
2025-12-22,ore,W.M.A IVORY COAST,12935,12987,12179,,,,,,
2025-12-22,ore,WMA Commodities 36,25655,26122,31449,14281,30999,,32758,,
2025-12-23,ore,Brequites Berry,,,,,,5599,,,
2025-12-23,coke / Coal,COAL,,,,,,27109,,,
2025-12-23,ore,IMPORTED SINTER,,,,,,74477,,,
2025-12-23,coke / Coal,Indian Coke ,,,,,,16734,,,
2025-12-23,coke / Coal,LAM COKE,,,,,,8065,,,
2025-12-23,ore,MILIAN LINK 34 Lot 2,,,,,,17908,,,
2025-12-23,ore,Remelt ,,,,,,5504,,,
2025-12-23,ore,W.M.A Commodities 40,,,,,,70000,,,
2025-12-23,ore,WMA Commodities 36,,,,,,40314,,,
